Member_ID,Date,Class_Type,Coach,Status
1,2025-05-12,Open Gym,Coach D,Checked In
1,2025-01-11,Cardio Class,Coach C,Checked In
2,2025-05-10,Cardio Class,Coach A,Checked In
2,2025-09-20,CrossFit,Coach C,Checked In
2,2025-09-17,Weightlifting,Coach C,Checked In
2,2025-08-15,Weightlifting,Coach B,Checked In
2,2024-03-18,Open Gym,Coach B,Checked In
2,2024-07-11,Cardio Class,Coach A,Checked In
2,2025-09-15,CrossFit,Coach C,Checked In
2,2024-05-07,CrossFit,Coach A,Checked In
2,2025-02-03,Cardio Class,Coach B,Checked In
2,2024-12-12,Cardio Class,Coach B,Checked In
2,2025-06-26,Weightlifting,Coach A,No-Show
2,2025-06-24,Cardio Class,Coach D,Checked In
2,2024-11-25,Weightlifting,Coach D,Checked In
2,2024-09-24,Cardio Class,Coach B,Checked In
2,2025-09-12,CrossFit,Coach C,Checked In
2,2025-07-18,Open Gym,Coach D,Checked In
2,2025-04-09,Open Gym,Coach A,Checked In
2,2024-08-30,CrossFit,Coach A,Checked In
2,2024-04-16,Open Gym,Coach C,Checked In
2,2024-10-11,Weightlifting,Coach D,Checked In
2,2025-09-16,CrossFit,Coach A,Checked In
2,2024-05-27,Cardio Class,Coach C,Checked In
2,2025-09-14,Open Gym,Coach D,Checked In
2,2025-08-21,CrossFit,Coach D,Checked In
2,2024-08-13,Cardio Class,Coach D,No-Show
2,2024-03-19,Cardio Class,Coach B,Checked In
2,2024-06-05,Open Gym,Coach B,Checked In
2,2024-10-24,Open Gym,Coach D,Checked In
2,2025-09-27,CrossFit,Coach B,Checked In
2,2024-07-10,Cardio Class,Coach C,Checked In
2,2024-09-17,CrossFit,Coach A,Checked In
2,2025-05-08,Cardio Class,Coach C,No-Show
2,2024-10-03,CrossFit,Coach D,Checked In
2,2025-09-24,Open Gym,Coach D,Checked In
2,2025-04-20,Weightlifting,Coach C,Checked In
2,2025-05-09,Weightlifting,Coach A,Checked In
2,2024-11-28,Cardio Class,Coach B,Checked In
2,2024-04-01,Weightlifting,Coach B,Checked In
2,2024-03-21,CrossFit,Coach A,Checked In
2,2024-10-08,Open Gym,Coach D,Checked In
2,2024-09-09,Open Gym,Coach B,Checked In
2,2024-05-19,CrossFit,Coach B,Checked In
2,2025-07-09,Open Gym,Coach D,Checked In
2,2025-01-23,CrossFit,Coach A,Checked In
2,2024-12-06,Open Gym,Coach A,Checked In
2,2025-04-13,Open Gym,Coach B,Checked In
2,2024-05-31,Open Gym,Coach C,Checked In
2,2025-04-16,Open Gym,Coach B,Checked In
2,2025-09-29,Open Gym,Coach C,Checked In
2,2025-02-18,Cardio Class,Coach C,Checked In
2,2024-12-28,Weightlifting,Coach B,Checked In
2,2025-05-25,CrossFit,Coach C,Checked In
2,2024-11-10,CrossFit,Coach B,Checked In
2,2025-07-29,Cardio Class,Coach B,Checked In
2,2025-01-08,Cardio Class,Coach B,Checked In
2,2025-07-22,Weightlifting,Coach C,Checked In
2,2024-05-02,Cardio Class,Coach D,Checked In
2,2025-06-19,Open Gym,Coach B,Checked In
2,2024-03-27,Weightlifting,Coach A,Checked In
2,2025-08-25,Open Gym,Coach C,Checked In
2,2024-04-09,Cardio Class,Coach C,Checked In
2,2025-08-01,CrossFit,Coach A,Checked In
2,2024-09-21,Weightlifting,Coach C,Checked In
2,2025-03-09,CrossFit,Coach D,Checked In
2,2024-03-20,CrossFit,Coach C,Checked In
2,2024-03-28,Cardio Class,Coach B,Checked In
2,2024-05-30,Weightlifting,Coach B,Checked In
2,2025-07-13,Cardio Class,Coach A,Checked In
2,2024-10-16,Cardio Class,Coach B,Checked In
2,2024-11-17,CrossFit,Coach A,Checked In
2,2025-04-28,Weightlifting,Coach A,Checked In
2,2025-09-06,CrossFit,Coach B,No-Show
2,2025-08-07,Open Gym,Coach A,Checked In
2,2025-01-24,CrossFit,Coach D,Checked In
2,2025-02-05,Open Gym,Coach D,Checked In
2,2025-04-12,Open Gym,Coach A,Checked In
2,2025-07-20,CrossFit,Coach D,Checked In
2,2025-04-15,Open Gym,Coach D,Checked In
2,2025-03-29,Weightlifting,Coach B,Checked In
2,2024-09-18,Weightlifting,Coach B,No-Show
2,2025-07-26,Open Gym,Coach B,Checked In
2,2024-06-21,Weightlifting,Coach A,Checked In
2,2024-07-13,CrossFit,Coach C,Checked In
2,2025-07-27,Open Gym,Coach D,Checked In
2,2025-07-24,Open Gym,Coach C,Checked In
2,2024-07-30,Open Gym,Coach B,Checked In
2,2024-03-30,CrossFit,Coach A,Checked In
2,2024-12-05,CrossFit,Coach B,Checked In
2,2024-10-13,CrossFit,Coach C,Checked In
2,2025-06-01,Weightlifting,Coach A,Checked In
2,2024-04-22,Weightlifting,Coach B,Checked In
2,2025-09-25,CrossFit,Coach A,Checked In
2,2024-04-24,Weightlifting,Coach A,Checked In
2,2025-02-27,CrossFit,Coach D,Checked In
2,2025-01-22,Cardio Class,Coach A,Checked In
2,2024-11-04,Weightlifting,Coach C,Checked In
2,2024-10-28,Open Gym,Coach B,Checked In
2,2025-01-30,CrossFit,Coach B,Checked In
2,2024-12-16,CrossFit,Coach A,Checked In
3,2024-06-08,CrossFit,Coach A,Checked In
3,2024-10-11,CrossFit,Coach A,Checked In
3,2025-02-05,Weightlifting,Coach B,Checked In
3,2024-08-04,Weightlifting,Coach C,Checked In
3,2025-09-26,CrossFit,Coach B,Checked In
3,2024-01-18,CrossFit,Coach A,Checked In
3,2024-02-27,Weightlifting,Coach B,Checked In
3,2025-09-25,CrossFit,Coach B,Checked In
3,2024-07-19,Weightlifting,Coach A,Checked In
3,2024-02-04,Weightlifting,Coach D,Checked In
3,2024-08-12,Cardio Class,Coach D,Checked In
3,2024-12-04,CrossFit,Coach C,No-Show
3,2024-09-04,Cardio Class,Coach C,Checked In
3,2025-08-04,Open Gym,Coach B,Checked In
3,2025-06-30,Open Gym,Coach A,Checked In
3,2024-07-16,Weightlifting,Coach C,Checked In
3,2025-06-15,CrossFit,Coach D,Checked In
3,2025-09-22,Cardio Class,Coach D,Checked In
3,2024-12-07,Open Gym,Coach B,Checked In
3,2024-07-25,CrossFit,Coach B,Checked In
3,2025-08-09,Open Gym,Coach A,Checked In
3,2024-11-14,Weightlifting,Coach D,Checked In
3,2024-08-10,Weightlifting,Coach B,Checked In
3,2025-04-15,CrossFit,Coach B,Checked In
3,2024-09-20,CrossFit,Coach D,Checked In
3,2025-07-27,Cardio Class,Coach B,Checked In
3,2024-04-02,CrossFit,Coach B,Checked In
3,2025-09-29,Cardio Class,Coach C,Checked In
3,2025-06-24,Open Gym,Coach B,Checked In
3,2024-12-15,CrossFit,Coach A,Checked In
3,2024-02-03,Weightlifting,Coach C,Checked In
3,2024-02-18,Open Gym,Coach C,Checked In
3,2025-09-11,Cardio Class,Coach B,Checked In
3,2024-03-13,Cardio Class,Coach D,Checked In
3,2025-06-28,Open Gym,Coach B,Checked In
3,2025-03-09,Weightlifting,Coach D,Checked In
3,2024-01-30,CrossFit,Coach C,Checked In
3,2025-04-18,Open Gym,Coach D,Checked In
3,2024-09-03,Open Gym,Coach B,Checked In
3,2024-03-09,Weightlifting,Coach D,Checked In
3,2024-07-17,Cardio Class,Coach A,Checked In
3,2024-07-12,Weightlifting,Coach A,Checked In
3,2025-02-19,Open Gym,Coach C,Checked In
3,2025-04-20,Weightlifting,Coach D,Checked In
3,2024-01-28,Weightlifting,Coach A,Checked In
3,2024-07-01,CrossFit,Coach A,Checked In
3,2024-12-06,Cardio Class,Coach D,Checked In
3,2024-12-09,Weightlifting,Coach C,Checked In
3,2024-10-03,Open Gym,Coach D,Checked In
3,2024-07-04,CrossFit,Coach B,Checked In
3,2025-06-03,CrossFit,Coach D,Checked In
3,2025-01-09,Open Gym,Coach C,Checked In
3,2025-04-09,CrossFit,Coach B,Checked In
3,2025-03-17,CrossFit,Coach B,Checked In
3,2025-04-07,CrossFit,Coach C,Checked In
3,2025-09-03,Open Gym,Coach C,Checked In
3,2024-12-23,Weightlifting,Coach A,Checked In
3,2025-06-14,CrossFit,Coach D,Checked In
3,2025-05-31,Open Gym,Coach D,Checked In
3,2024-02-22,Open Gym,Coach B,Checked In
3,2024-11-24,Weightlifting,Coach C,Checked In
3,2024-07-06,CrossFit,Coach D,Checked In
3,2024-12-02,Open Gym,Coach A,Checked In
3,2024-11-26,Cardio Class,Coach D,Checked In
3,2025-03-08,Weightlifting,Coach D,Checked In
3,2024-12-14,Cardio Class,Coach A,Checked In
3,2024-09-25,Cardio Class,Coach B,Checked In
3,2025-08-25,Cardio Class,Coach C,Checked In
3,2025-08-24,Cardio Class,Coach B,Checked In
3,2024-10-27,Cardio Class,Coach D,Checked In
3,2024-05-14,Open Gym,Coach A,Checked In
3,2024-03-16,Cardio Class,Coach A,Checked In
3,2024-10-06,Cardio Class,Coach C,Checked In
3,2025-01-05,Open Gym,Coach C,Checked In
3,2024-04-15,Cardio Class,Coach B,Checked In
3,2025-08-19,Weightlifting,Coach B,Checked In
3,2024-09-24,Open Gym,Coach D,Checked In
3,2024-11-25,Cardio Class,Coach D,Checked In
3,2024-07-27,Weightlifting,Coach A,Checked In
3,2024-01-27,Cardio Class,Coach D,Checked In
3,2024-07-09,CrossFit,Coach A,No-Show
3,2024-07-22,Open Gym,Coach A,Checked In
4,2025-09-06,Open Gym,Coach C,Checked In
4,2025-08-27,Cardio Class,Coach A,No-Show
4,2025-04-29,Weightlifting,Coach A,Checked In
4,2025-02-27,Weightlifting,Coach A,Checked In
4,2025-08-07,Weightlifting,Coach D,Checked In
4,2025-02-19,Open Gym,Coach A,Checked In
4,2025-08-04,Cardio Class,Coach A,Checked In
4,2025-07-16,Cardio Class,Coach A,Checked In
4,2025-03-25,CrossFit,Coach B,Checked In
4,2025-01-23,Weightlifting,Coach A,Checked In
4,2025-04-19,Open Gym,Coach A,Checked In
4,2025-02-13,Cardio Class,Coach D,Checked In
4,2025-03-08,CrossFit,Coach A,Checked In
4,2025-07-08,CrossFit,Coach D,Checked In
4,2025-03-31,Weightlifting,Coach D,Checked In
4,2025-05-04,CrossFit,Coach D,Checked In
4,2025-06-19,Weightlifting,Coach C,No-Show
4,2025-06-24,Open Gym,Coach A,Checked In
4,2025-08-10,CrossFit,Coach D,Checked In
4,2025-05-26,Weightlifting,Coach D,Checked In
4,2025-06-02,CrossFit,Coach A,Checked In
4,2025-02-11,Cardio Class,Coach C,Checked In
4,2025-03-29,Cardio Class,Coach D,Checked In
4,2025-02-06,CrossFit,Coach C,Checked In
4,2025-08-25,Cardio Class,Coach B,Checked In
4,2025-06-25,Weightlifting,Coach C,Checked In
4,2025-09-16,Open Gym,Coach D,Checked In
4,2025-07-27,Cardio Class,Coach A,Checked In
4,2025-03-07,Cardio Class,Coach A,Checked In
4,2025-04-23,Cardio Class,Coach C,Checked In
4,2025-05-29,Cardio Class,Coach D,Checked In
4,2025-01-31,CrossFit,Coach C,Checked In
4,2025-09-26,Open Gym,Coach D,Checked In
4,2025-07-07,Weightlifting,Coach A,Checked In
4,2025-04-01,Weightlifting,Coach B,Checked In
4,2025-09-30,CrossFit,Coach B,Checked In
4,2025-03-24,Cardio Class,Coach B,Checked In
4,2025-05-27,Cardio Class,Coach C,Checked In
4,2025-02-18,CrossFit,Coach A,Checked In
4,2025-07-25,CrossFit,Coach C,Checked In
4,2025-05-19,Weightlifting,Coach D,Checked In
4,2025-04-14,Cardio Class,Coach A,Checked In
4,2025-03-21,Open Gym,Coach A,Checked In
4,2025-08-17,Open Gym,Coach D,Checked In
4,2025-10-01,Cardio Class,Coach A,Checked In
4,2025-05-14,CrossFit,Coach A,Checked In
4,2025-04-13,Open Gym,Coach B,Checked In
4,2025-04-26,Open Gym,Coach A,Checked In
4,2025-06-21,CrossFit,Coach A,Checked In
4,2025-01-14,Cardio Class,Coach A,Checked In
4,2025-03-18,Weightlifting,Coach C,Checked In
4,2025-06-01,CrossFit,Coach D,Checked In
4,2025-04-28,Weightlifting,Coach C,Checked In
4,2025-02-21,Open Gym,Coach A,Checked In
4,2025-04-10,Cardio Class,Coach C,Checked In
4,2025-04-07,Cardio Class,Coach A,Checked In
4,2025-03-10,Cardio Class,Coach A,Checked In
4,2025-06-07,CrossFit,Coach B,No-Show
4,2025-04-17,Open Gym,Coach A,Checked In
4,2025-09-02,Weightlifting,Coach B,Checked In
4,2025-09-28,CrossFit,Coach C,Checked In
4,2025-06-13,Weightlifting,Coach D,Checked In
4,2025-06-20,Open Gym,Coach D,Checked In
4,2025-05-21,Weightlifting,Coach D,Checked In
4,2025-04-05,Weightlifting,Coach C,Checked In
4,2025-09-24,Cardio Class,Coach A,Checked In
4,2025-01-28,Open Gym,Coach C,Checked In
4,2025-05-11,Weightlifting,Coach B,Checked In
4,2025-05-08,CrossFit,Coach B,Checked In
4,2025-09-12,Weightlifting,Coach A,Checked In
4,2025-09-01,Open Gym,Coach C,Checked In
5,2025-02-04,Weightlifting,Coach D,Checked In
5,2024-10-19,CrossFit,Coach A,Checked In
5,2025-08-26,Weightlifting,Coach D,Checked In
5,2024-07-01,Cardio Class,Coach D,Checked In
5,2024-09-27,CrossFit,Coach D,Checked In
5,2025-09-07,Cardio Class,Coach C,Checked In
5,2025-07-29,Cardio Class,Coach C,Checked In
5,2025-03-27,Weightlifting,Coach A,Checked In
5,2025-05-28,CrossFit,Coach B,Checked In
5,2025-05-10,Cardio Class,Coach C,Checked In
5,2024-12-03,CrossFit,Coach B,Checked In
5,2025-09-15,CrossFit,Coach C,Checked In
5,2025-04-03,Cardio Class,Coach B,Checked In
5,2025-09-25,Cardio Class,Coach A,Checked In
5,2025-01-30,Cardio Class,Coach D,Checked In
5,2025-08-12,Weightlifting,Coach C,Checked In
5,2025-04-13,Open Gym,Coach A,Checked In
5,2025-06-14,Open Gym,Coach D,Checked In
5,2025-09-16,CrossFit,Coach B,Checked In
5,2024-11-25,Weightlifting,Coach A,Checked In
5,2025-06-16,CrossFit,Coach A,Checked In
5,2024-11-17,Cardio Class,Coach C,Checked In
5,2024-10-16,Weightlifting,Coach C,Checked In
5,2024-06-14,Weightlifting,Coach D,Checked In
5,2024-08-13,Open Gym,Coach D,Checked In
5,2024-09-11,Weightlifting,Coach A,Checked In
5,2024-12-04,Open Gym,Coach A,Checked In
5,2025-09-17,Cardio Class,Coach D,Checked In
5,2025-03-19,Cardio Class,Coach B,Checked In
5,2025-03-04,Open Gym,Coach C,Checked In
5,2025-09-30,Cardio Class,Coach A,Checked In
5,2025-01-18,Open Gym,Coach A,Checked In
5,2024-09-25,Open Gym,Coach B,Checked In
5,2025-08-10,Open Gym,Coach B,Checked In
5,2024-08-07,Weightlifting,Coach B,Checked In
5,2024-11-13,Open Gym,Coach A,Checked In
5,2024-08-22,CrossFit,Coach C,Checked In
5,2025-01-11,CrossFit,Coach D,No-Show
5,2025-03-01,Open Gym,Coach C,Checked In
5,2025-01-12,Cardio Class,Coach B,Checked In
5,2025-05-24,Cardio Class,Coach C,Checked In
5,2024-06-28,Cardio Class,Coach D,No-Show
5,2024-08-05,Open Gym,Coach A,Checked In
5,2025-10-01,CrossFit,Coach A,Checked In
5,2025-06-01,Weightlifting,Coach C,Checked In
5,2024-12-16,Open Gym,Coach B,Checked In
5,2024-05-25,Cardio Class,Coach C,Checked In
5,2025-05-25,CrossFit,Coach B,Checked In
5,2024-12-25,Weightlifting,Coach A,No-Show
5,2025-02-09,Open Gym,Coach C,Checked In
5,2025-09-08,Open Gym,Coach D,Checked In
5,2025-08-23,Cardio Class,Coach C,Checked In
5,2025-08-22,Weightlifting,Coach C,Checked In
5,2025-04-10,Cardio Class,Coach D,Checked In
5,2025-01-29,CrossFit,Coach B,Checked In
5,2025-07-06,CrossFit,Coach B,Checked In
5,2025-03-13,Cardio Class,Coach D,Checked In
5,2025-01-15,Weightlifting,Coach C,Checked In
5,2025-09-22,Open Gym,Coach D,Checked In
5,2025-02-15,Weightlifting,Coach D,Checked In
5,2025-01-27,Open Gym,Coach A,Checked In
5,2025-03-02,CrossFit,Coach C,Checked In
5,2024-10-27,CrossFit,Coach B,Checked In
5,2025-09-20,Open Gym,Coach D,No-Show
5,2025-07-26,Open Gym,Coach C,Checked In
5,2024-10-04,CrossFit,Coach A,Checked In
5,2025-02-19,Weightlifting,Coach D,Checked In
5,2024-12-14,Open Gym,Coach C,Checked In
5,2025-09-27,Weightlifting,Coach C,Checked In
5,2025-03-10,CrossFit,Coach B,No-Show
5,2024-12-26,CrossFit,Coach D,Checked In
5,2025-01-21,Open Gym,Coach D,Checked In
5,2024-07-29,CrossFit,Coach B,Checked In
5,2025-03-31,Cardio Class,Coach D,Checked In
5,2024-09-02,Weightlifting,Coach C,Checked In
5,2025-08-08,CrossFit,Coach B,No-Show
5,2024-06-16,Open Gym,Coach B,Checked In
5,2025-02-25,CrossFit,Coach A,Checked In
5,2024-09-26,Cardio Class,Coach C,Checked In
5,2025-05-09,CrossFit,Coach C,Checked In
5,2025-05-07,Weightlifting,Coach C,Checked In
5,2024-10-17,Weightlifting,Coach C,Checked In
5,2025-02-24,Open Gym,Coach D,Checked In
6,2025-06-23,Open Gym,Coach C,Checked In
6,2024-08-31,Open Gym,Coach C,Checked In
6,2024-06-04,Cardio Class,Coach B,Checked In
6,2025-01-12,Cardio Class,Coach C,Checked In
6,2024-09-17,Weightlifting,Coach C,Checked In
6,2025-02-21,Weightlifting,Coach B,Checked In
6,2024-07-15,Cardio Class,Coach D,Checked In
6,2024-07-07,CrossFit,Coach A,Checked In
6,2024-10-21,Open Gym,Coach A,Checked In
6,2024-12-22,Open Gym,Coach D,Checked In
6,2024-08-13,CrossFit,Coach A,Checked In
6,2024-08-27,Weightlifting,Coach A,Checked In
6,2025-01-22,Open Gym,Coach A,Checked In
6,2024-11-04,CrossFit,Coach D,Checked In
6,2025-05-29,Cardio Class,Coach A,Checked In
6,2024-07-30,Cardio Class,Coach D,Checked In
6,2024-09-11,Weightlifting,Coach A,Checked In
6,2025-08-09,CrossFit,Coach C,Checked In
6,2025-03-11,CrossFit,Coach C,Checked In
6,2024-05-30,CrossFit,Coach B,Checked In
6,2025-06-18,CrossFit,Coach C,Checked In
6,2025-02-16,Weightlifting,Coach A,Checked In
6,2025-04-04,Cardio Class,Coach B,Checked In
6,2024-12-23,CrossFit,Coach B,Checked In
6,2024-08-11,Cardio Class,Coach D,Checked In
6,2024-10-23,CrossFit,Coach B,Checked In
6,2025-04-13,Weightlifting,Coach D,Checked In
6,2025-05-02,CrossFit,Coach C,Checked In
6,2025-06-13,Weightlifting,Coach C,Checked In
6,2025-07-15,CrossFit,Coach C,Checked In
6,2025-03-30,CrossFit,Coach B,Checked In
6,2024-06-17,Cardio Class,Coach B,Checked In
6,2024-11-19,Cardio Class,Coach B,Checked In
6,2025-01-03,Open Gym,Coach B,Checked In
6,2025-02-26,CrossFit,Coach D,No-Show
6,2025-05-28,Cardio Class,Coach D,Checked In
6,2025-02-28,CrossFit,Coach B,Checked In
6,2024-09-23,CrossFit,Coach B,Checked In
6,2024-10-03,Cardio Class,Coach A,Checked In
6,2024-10-12,CrossFit,Coach C,Checked In
6,2024-10-25,Open Gym,Coach B,Checked In
6,2025-08-12,Weightlifting,Coach C,Checked In
6,2025-03-01,Weightlifting,Coach D,Checked In
6,2024-09-25,Open Gym,Coach C,Checked In
6,2025-09-06,Weightlifting,Coach B,Checked In
6,2025-07-10,Open Gym,Coach D,Checked In
6,2024-10-16,Cardio Class,Coach C,Checked In
6,2025-03-09,CrossFit,Coach D,Checked In
6,2024-11-29,CrossFit,Coach D,Checked In
6,2025-04-29,Open Gym,Coach B,Checked In
6,2025-09-11,CrossFit,Coach B,Checked In
6,2025-08-11,Open Gym,Coach D,Checked In
6,2025-06-03,CrossFit,Coach C,Checked In
6,2025-02-05,CrossFit,Coach C,Checked In
6,2024-09-14,CrossFit,Coach C,Checked In
6,2025-08-31,CrossFit,Coach B,Checked In
6,2024-06-25,Weightlifting,Coach C,Checked In
6,2025-05-15,Cardio Class,Coach B,Checked In
6,2024-09-03,CrossFit,Coach A,Checked In
6,2025-04-02,Open Gym,Coach D,Checked In
6,2024-05-27,CrossFit,Coach C,Checked In
6,2024-06-15,Cardio Class,Coach D,Checked In
6,2025-04-30,Cardio Class,Coach A,Checked In
6,2025-08-16,Open Gym,Coach B,Checked In
6,2025-08-03,Cardio Class,Coach C,Checked In
6,2025-03-12,CrossFit,Coach B,Checked In
6,2024-08-02,Cardio Class,Coach C,Checked In
6,2025-07-18,Open Gym,Coach B,Checked In
6,2024-06-08,Cardio Class,Coach B,Checked In
6,2025-02-23,Weightlifting,Coach C,Checked In
6,2025-01-15,Open Gym,Coach A,Checked In
6,2025-01-27,CrossFit,Coach D,Checked In
6,2024-05-25,Open Gym,Coach B,Checked In
6,2025-07-16,Cardio Class,Coach C,Checked In
6,2025-02-12,Weightlifting,Coach A,Checked In
6,2024-12-14,Cardio Class,Coach D,Checked In
6,2024-09-06,Open Gym,Coach D,Checked In
6,2025-05-08,CrossFit,Coach D,Checked In
6,2025-04-18,Cardio Class,Coach D,Checked In
6,2025-09-19,Weightlifting,Coach B,Checked In
6,2024-06-28,CrossFit,Coach D,Checked In
6,2025-07-07,CrossFit,Coach D,Checked In
6,2025-01-24,Open Gym,Coach D,Checked In
6,2024-11-21,Cardio Class,Coach B,Checked In
6,2024-08-29,Cardio Class,Coach C,Checked In
6,2024-08-17,Cardio Class,Coach A,Checked In
6,2024-11-20,Open Gym,Coach D,Checked In
7,2024-07-24,Weightlifting,Coach C,Checked In
7,2025-01-17,CrossFit,Coach B,Checked In
7,2025-07-28,Weightlifting,Coach A,Checked In
7,2025-03-18,CrossFit,Coach B,Checked In
7,2025-02-20,CrossFit,Coach C,Checked In
7,2024-08-25,CrossFit,Coach D,Checked In
7,2024-07-02,Open Gym,Coach C,Checked In
7,2025-08-06,Cardio Class,Coach C,Checked In
7,2025-01-03,Weightlifting,Coach D,Checked In
7,2025-02-03,CrossFit,Coach A,Checked In
7,2025-01-20,Open Gym,Coach B,Checked In
7,2025-09-23,Weightlifting,Coach B,Checked In
7,2024-12-04,Weightlifting,Coach B,Checked In
7,2025-05-14,Cardio Class,Coach A,Checked In
7,2024-06-08,Weightlifting,Coach B,Checked In
7,2025-05-05,Weightlifting,Coach A,Checked In
7,2024-09-11,Weightlifting,Coach B,Checked In
7,2025-09-28,CrossFit,Coach C,Checked In
7,2024-11-30,Open Gym,Coach C,Checked In
7,2025-02-25,Cardio Class,Coach B,Checked In
7,2025-09-21,CrossFit,Coach B,Checked In
7,2025-08-03,CrossFit,Coach B,Checked In
7,2024-12-23,Open Gym,Coach A,Checked In
7,2024-09-27,Open Gym,Coach B,Checked In
7,2024-12-12,CrossFit,Coach C,Checked In
7,2025-05-10,Weightlifting,Coach A,Checked In
7,2025-02-11,CrossFit,Coach D,Checked In
7,2025-01-06,Open Gym,Coach A,Checked In
7,2025-05-12,CrossFit,Coach C,Checked In
7,2025-04-18,Open Gym,Coach C,Checked In
7,2025-03-06,Cardio Class,Coach B,Checked In
7,2025-04-02,Cardio Class,Coach B,No-Show
7,2025-08-13,CrossFit,Coach A,Checked In
7,2024-05-26,CrossFit,Coach C,Checked In
7,2025-06-23,Weightlifting,Coach C,Checked In
7,2024-05-15,Weightlifting,Coach C,Checked In
7,2025-02-18,CrossFit,Coach C,Checked In
7,2025-05-08,Cardio Class,Coach C,Checked In
7,2024-10-03,Cardio Class,Coach D,Checked In
